# x    u_init    u_nu1e-02    u_nu1e-03    u_nu3e-04    u_nu1e-04
7.600000000000000533e+00 3.819167204710538499e-14 -1.387198926634106988e-01 -7.058393380029952535e-01 -5.741708818582603735e-01 -5.443248184511534360e-01
7.700000000000000178e+00 -1.067138674627697847e+00 -1.379445569155448026e-01 -7.551565983931041171e-01 -6.160272304508480623e-01 -5.808300691693075724e-01
7.800000000000000711e+00 -1.208792350409627403e+00 -1.366237181375916931e-01 -8.057180596862841826e-01 -6.622239666816231995e-01 -6.201816204641502628e-01
7.900000000000000355e+00 -1.445961158925647694e-01 -1.347620610020011656e-01 -8.568639023644200048e-01 -7.136893585363865977e-01 -6.628794812353322463e-01
8.000000000000000000e+00 1.165734175856414367e-14 -1.323664301920532971e-01 -9.077486129292798855e-01 -7.715760249381109492e-01 -7.096268837918682237e-01
8.099999999999999645e+00 -1.235727657910002719e+00 -1.294458113139973776e-01 -9.573338848241094157e-01 -8.372795668684304138e-01 -7.611284411270343719e-01
8.200000000000001066e+00 -1.575747859968656073e+00 -1.260113028307965621e-01 -1.004390512127274926e+00 -9.124212389855764771e-01 -8.181823879714787973e-01
8.300000000000000711e+00 -3.454538278924906280e-01 -1.220760790115455602e-01 -1.047511224549285913e+00 -9.987646888232596387e-01 -8.820168072113871993e-01
8.400000000000000355e+00 2.964295475749167963e-14 -1.176553439362621190e-01 -1.085136005511090129e+00 -1.098028971814814847e+00 -9.543772511224816180e-01
8.500000000000000000e+00 -1.481305252752551427e+00 -1.127662766429120417e-01 -1.115590803304262524e+00 -1.211558358590995033e+00 -1.037448396022180530e+00
8.599999999999999645e+00 -2.125108173157202351e+00 -1.074279675518395594e-01 -1.137139702873392944e+00 -1.339820101149683085e+00 -1.134214992956622314e+00
8.700000000000001066e+00 -6.554318269412279241e-01 -1.016613463518380722e-01 -1.148049613039197059e+00 -1.481730622475375680e+00 -1.249275574171853087e+00
8.800000000000000711e+00 -2.164934898019055254e-14 -9.548910158148762872e-02 -1.146665407923388891e+00 -1.633861984735015538e+00 -1.389522383632643576e+00
8.900000000000000355e+00 -1.888803426957481602e+00 -8.893559218866060878e-02 -1.131492332409500978e+00 -1.789650602246250388e+00 -1.564598028256846796e+00
9.000000000000000000e+00 -3.077683537175270434e+00 -8.202675139980222796e-02 -1.101281447103634736e+00 -1.938805249767132866e+00 -1.787250223786271297e+00
9.099999999999999645e+00 -1.221011288334655331e+00 -7.478998327826673342e-02 -1.055113062912655053e+00 -2.067166480406415818e+00 -2.072172202832851529e+00
9.200000000000001066e+00 -2.203792703880935733e-14 -6.725405239717024974e-02 -9.924726081169096270e-01 -2.157272585251864161e+00 -2.430231251319129981e+00
9.300000000000000711e+00 -2.736871414605761110e+00 -5.944896709645337840e-02 -9.133132717895517949e-01 -2.189809503035895499e+00 -2.855654752333662838e+00
9.400000000000000355e+00 -5.242183581113148527e+00 -5.140585683568417441e-02 -8.181001347115548494e-01 -2.145952913055078515e+00 -3.307053013261881613e+00
9.500000000000000000e+00 -2.656875757337563648e+00 -4.315684419315203579e-02 -7.078313480559109694e-01 -2.010370936703987255e+00 -3.689014204599026403e+00
9.600000000000001421e+00 -1.906808044793706358e-14 -3.473491209759964338e-02 -5.840332175562357175e-01 -1.774402557861072927e+00 -3.849488873827049407e+00
9.700000000000001066e+00 -5.789447496702861073e+00 -2.617376691114298853e-02 -4.487277132103960620e-01 -1.438743097142002991e+00 -3.612730888019585418e+00
9.800000000000000711e+00 -1.589454484386535071e+01 -1.750769801019830957e-02 -3.043728237417880900e-01 -1.014936506740873767e+00 -2.853861629117109722e+00
9.900000000000000355e+00 -1.541025797688696919e+01 -8.771434535270287991e-03 -1.537781496343790522e-01 -5.251425947121994842e-01 -1.585888267024046394e+00
