# x    u_init    u_nu1e-02    u_nu1e-03    u_nu3e-04    u_nu1e-04
5.600000000000000533e+00 -9.048317650695025804e-15 -5.086338607067999312e-02 -1.083097732527341095e-01 -9.850843841630216313e-02 -9.637633584979179990e-02
5.700000000000000178e+00 -6.117632414485751902e-01 -5.883734148338642250e-02 -1.272527485090383659e-01 -1.154822335165002073e-01 -1.129499684455226721e-01
5.800000000000000711e+00 -2.567563603677464057e-01 -6.658246341973578231e-02 -1.466350911579781258e-01 -1.327222829971538842e-01 -1.297594415274590796e-01
5.900000000000000355e+00 3.547365716340314390e-01 -7.406850836331511923e-02 -1.665402195638228944e-01 -1.502739337960302124e-01 -1.468506576875951153e-01
6.000000000000000000e+00 2.664535259100375697e-15 -8.126619701793059980e-02 -1.870602856229313660e-01 -1.681857882305879126e-01 -1.642739567763632502e-01
6.100000000000000533e+00 -6.800110765478899477e-01 -8.814732568501791599e-02 -2.082973755516243641e-01 -1.865103415768446793e-01 -1.820703079045516704e-01
6.200000000000000178e+00 -3.959280087977183893e-01 -9.468487438004370704e-02 -2.303645760873803128e-01 -2.053047231973250397e-01 -2.002819830480851437e-01
6.300000000000000711e+00 2.836306788762830156e-01 -1.008531113115473665e-01 -2.533867790272526510e-01 -2.246315681109769258e-01 -2.189680750496531825e-01
6.400000000000000355e+00 -4.440892098500626162e-15 -1.066276933445325231e-01 -2.775010543403703123e-01 -2.445600536873040742e-01 -2.381954406689179016e-01
6.500000000000000000e+00 -7.547627247472064038e-01 -1.119857620689303085e-01 -3.028563758335095502e-01 -2.651671469758791200e-01 -2.580240023964305296e-01
6.600000000000000533e+00 -5.497546521927451080e-01 -1.169060350940940296e-01 -3.296124367386930043e-01 -2.865391235129756131e-01 -2.785171972473731161e-01
6.700000000000000178e+00 2.043008243002815139e-01 -1.213688921920151459e-01 -3.579372504032341529e-01 -3.087734405674655291e-01 -2.997593947021115479e-01
6.800000000000000711e+00 -1.987299214079030207e-14 -1.253564559154350944e-01 -3.880031999065902681e-01 -3.319810802560750340e-01 -3.218481444401922187e-01
6.900000000000000355e+00 -8.397996491122595719e-01 -1.288526663225197655e-01 -4.199811878393083786e-01 -3.562895261630814603e-01 -3.448788736845674885e-01
