# x    u_init    u_nu1e-02    u_nu1e-03    u_nu3e-04    u_nu1e-04
5.100000000000000533e+00 4.842868669783372271e-01 -8.672530535123762485e-03 -1.772241375888700121e-02 -1.620906355408508956e-02 -1.586720420556848865e-02
5.200000000000000178e+00 8.826273045769994496e-15 -1.731138281479930804e-02 -3.549974146072101128e-02 -3.245342875798028909e-02 -3.177524639995078781e-02
5.300000000000000711e+00 -5.472639155896259489e-01 -2.588300285203684603e-02 -5.338783543697455530e-02 -4.876872310165770996e-02 -4.774858073538520986e-02
5.400000000000000355e+00 -1.263293784461137770e-01 -3.435408484257564815e-02 -7.144444592357596102e-02 -6.519123260073197978e-02 -6.381154425710176825e-02
5.500000000000000000e+00 4.208077798377425349e-01 -4.269169437004497608e-02 -8.973022097165839206e-02 -8.175824844000850744e-02 -8.000598311468400115e-02
5.600000000000000533e+00 -9.048317650695025804e-15 -5.086339054561955786e-02 -1.083097620478542661e-01 -9.850843524031696608e-02 -9.637618802108861848e-02
5.700000000000000178e+00 -6.117632414485751902e-01 -5.883734672368156476e-02 -1.272527440443361746e-01 -1.154822294883214168e-01 -1.129511444129319558e-01
5.800000000000000711e+00 -2.567563603677464057e-01 -6.658246943237003390e-02 -1.466350985530260609e-01 -1.327222779259331353e-01 -1.297596377736361661e-01
5.900000000000000355e+00 3.547365716340314390e-01 -7.406851515487769544e-02 -1.665402452736570171e-01 -1.502739274260857238e-01 -1.468494703430794635e-01
6.000000000000000000e+00 2.664535259100375697e-15 -8.126620459411332265e-02 -1.870603374516256467e-01 -1.681857802170858840e-01 -1.642737064822973325e-01
6.100000000000000533e+00 -6.800110765478899477e-01 -8.814733405008140510e-02 -2.082974625040998062e-01 -1.865103314494683806e-01 -1.820715037527165236e-01
6.200000000000000178e+00 -3.959280087977183893e-01 -9.468488353626279552e-02 -2.303647079970757294e-01 -2.053047103048825650e-01 -2.002822818017810924e-01
6.300000000000000711e+00 2.836306788762830156e-01 -1.008531212586465803e-01 -2.533869658996069640e-01 -2.246315515353999315e-01 -2.189668591031222744e-01
6.400000000000000355e+00 -4.440892098500626162e-15 -1.066277040791225317e-01 -2.775013053646736561e-01 -2.445600321086003337e-01 -2.381950814390783877e-01
6.500000000000000000e+00 -7.547627247472064038e-01 -1.119857735839562968e-01 -3.028566980414718612e-01 -2.651671184602645281e-01 -2.580252292007034209e-01
6.600000000000000533e+00 -5.497546521927451080e-01 -1.169060473783071902e-01 -3.296128333289640722e-01 -2.865390851866767563e-01 -2.785176029510824103e-01
6.700000000000000178e+00 2.043008243002815139e-01 -1.213689052294781440e-01 -3.579377188071107274e-01 -3.087733881360638089e-01 -2.997581330428196189e-01
6.800000000000000711e+00 -1.987299214079030207e-14 -1.253564696850718585e-01 -3.880037297386427775e-01 -3.319810073523219440e-01 -3.218476652992179887e-01
6.900000000000000355e+00 -8.397996491122595719e-01 -1.288526807977195821e-01 -4.199817589516533500e-01 -3.562894235919988883e-01 -3.448801439033918337e-01
7.000000000000000000e+00 -7.265425280053372514e-01 -1.318433645957820810e-01 -4.540331336670483942e-01 -3.818464639396800253e-01 -3.689563469116686201e-01
7.100000000000000533e+00 1.121602444752357042e-01 -1.343162949496130576e-01 -4.902990184460415124e-01 -4.088253574692949366e-01 -3.942110721272937268e-01
7.200000000000000178e+00 1.065814103640150279e-14 -1.362612484958103942e-01 -5.288871223234198338e-01 -4.374314916392406660e-01 -4.208049333528378622e-01
7.300000000000000711e+00 -9.408092961816432176e-01 -1.376700522975184138e-01 -5.698556803141363591e-01 -4.679115600609835002e-01 -4.489022469551691708e-01
7.400000000000000355e+00 -9.390625058175352535e-01 -1.385366239374096753e-01 -6.131948881983071420e-01 -5.005660312554504054e-01 -4.786868251329182145e-01
7.500000000000000000e+00 4.695100324995811987e-15 -1.388570037615525499e-01 -6.588062328662138700e-01 -5.357660949615034029e-01 -5.103954746857064517e-01
7.600000000000000533e+00 3.819167204710538499e-14 -1.386293790170083917e-01 -7.064804697129747346e-01 -5.739763311111020228e-01 -5.443151706343805074e-01
7.700000000000000178e+00 -1.067138674627697847e+00 -1.378540996537017671e-01 -7.558753367062590600e-01 -6.157840503270139987e-01 -5.807644001135576772e-01
7.800000000000000711e+00 -1.208792350409627403e+00 -1.365336855918276304e-01 -8.064944363471033828e-01 -6.619351688187674609e-01 -6.201172783299266911e-01
7.900000000000000355e+00 -1.445961158925647694e-01 -1.346728252897150535e-01 -8.576690283118502123e-01 -7.133740433247957036e-01 -6.628524102845180233e-01
