1.000000000000000000e+01 1.015280025433865774e+01 1.531294725492087783e-01
5.000000000000000000e+00 5.076988882633997946e+00 7.547980340600284055e-02
3.333333333333333481e+00 3.438574308530348844e+00 6.520432753608930432e-02
2.500000000000000000e+00 2.569726896291946616e+00 3.602270429195572610e-02
2.000000000000000000e+00 2.085434976002908058e+00 4.059612247711984895e-02
1.428571428571428381e+00 1.498253502072792287e+00 2.604457004706385928e-02
1.000000000000000000e+00 1.080751909614782846e+00 1.362384731371355136e-02
3.333333333333333148e-01 5.460244463330425901e-01 7.850021707251336051e-03
2.000000000000000111e-01 5.120040686162781185e-01 4.896009721009015291e-03
1.000000000000000056e-01 5.010067066802719182e-01 3.225244154870504816e-03
5.000000000000000278e-02 5.030215565500313346e-01 2.243493821057734004e-03
2.000000000000000042e-02 4.998316912817983848e-01 1.777686307202876528e-03
